world_rank,university_name,country,teaching,international,research,citations,income,num_students,student_staff_ratio,international_students,female_male_ratio
1,Harvard University,United States of America,99.7,72.4,98.7,98.8,34.5,20152,8.9,0.25,1
2,California Institute of Technology,United States of America,97.7,54.6,98,99.9,83.7,2243,6.9,0.27,0.493
3,Massachusetts Institute of Technology,United States of America,97.8,82.3,91.4,99.9,87.5,11074,9,0.33,0.587
4,Stanford University,United States of America,98.3,29.5,98.1,99.2,64.3,15596,7.8,0.22,0.724
5,Princeton University,United States of America,90.9,70.3,95.4,99.9,93.1,7929,8.4,0.27,0.818
6,University of Cambridge,United Kingdom,90.5,77.7,94.1,94,57,18812,11.8,0.34,0.852
6,University of Oxford,United Kingdom,88.2,77.2,93.9,95.1,73.5,19919,11.6,0.34,0.852
8,"University of California, Berkeley",United States of America,84.2,39.6,99.3,97.8,91.4,36186,16.4,0.15,1
9,Imperial College London,United Kingdom,89.2,90,94.5,88.3,92.9,15060,11.7,0.51,0.587
10,Yale University,United States of America,92.1,59.2,89.7,91.5,90.5,11751,4.4,0.2,1
11,"University of California, Los Angeles",United States of America,83,48.1,92.9,93.2,89.4,38206,10.3,0.15,1.083
12,University of Chicago,United States of America,79.1,62.8,87.9,96.9,86.7,14221,6.9,0.21,0.724
13,Johns Hopkins University,United States of America,80.9,58.5,89.2,92.3,97.9,15128,3.6,0.23,1
14,Cornell University,United States of America,82.2,62.4,88.8,88.1,34.7,21424,10.2,0.19,0.923
15,ETH Zurich – Swiss Federal Institute of Technology Zurich,Switzerland,77.5,93.7,87.8,83.1,84.7,18178,14.7,0.37,0.449
15,University of Michigan,United States of America,83.9,53.3,89.1,84.1,59.6,41786,9,0.16,0.923
18,Columbia University,United States of America,73.8,90.9,73.8,92.6,83.2,25055,5.9,0.28,1
19,University of Pennsylvania,United States of America,71.8,32.9,82.7,93.6,43.7,20376,6.5,0.2,1.041
20,Carnegie Mellon University,United States of America,70.3,39.1,79.3,95.7,53.7,11885,13.1,0.35,0.639
21,University of Hong Kong,Hong Kong,68.4,91.4,71.4,96.1,56.5,19835,17.6,0.38,1.128
22,University College London,United Kingdom,74,90.8,81.6,80.6,39,26607,10.7,0.46,1.273
23,University of Washington,United States of America,68.2,49,77.1,95.9,32.8,44020,11.8,0.13,1.128
24,Duke University,United States of America,66.8,49.4,71.5,92.3,100,15172,4.8,0.17,0.961
25,Northwestern University,United States of America,64.5,60.5,68.8,95.3,76.5,18334,13.8,0.15,0.923
26,University of Tokyo,Japan,87.7,18.4,91.9,58.1,76.7,26199,5.7,0.1,1
27,Georgia Institute of Technology,United States of America,67.9,73.2,72.6,83.2,95.1,19967,20.1,0.26,0.449
28,Pohang University of Science and Technology,South Korea,69.5,32.6,62.5,96.5,100,3055,10.1,0.04,0.25
29,"University of California, Santa Barbara",United States of America,56.6,64.3,68,98.8,89.8,22020,27.3,0.11,1.083
30,University of British Columbia,Canada,65.1,93.3,74.8,80.3,42.6,50152,17.6,0.25,1.174
30,University of North Carolina at Chapel Hill,United States of America,70.9,21.5,75.1,85,50.2,26518,7.3,0.08,1.381
32,"University of California, San Diego",United States of America,59.8,31.6,76.3,90.8,51.8,27233,6.5,0.11,0.923
33,University of Illinois at Urbana-Champaign,United States of America,68.1,55.9,80.9,72.9,72.5,42727,18.7,0.2,0.887
34,National University of Singapore,Singapore,65.5,97.8,72.6,78.7,40.5,31592,15.5,0.34,0.961
35,McGill University,Canada,69,85.9,74.9,69,72.4,31326,13.7,0.23,1.273
36,University of Melbourne,Australia,58.7,88,69.2,83.3,47.7,40128,23.7,0.35,1.222
37,Peking University,China,76.4,68.6,61.3,72.2,98.6,40148,8.3,0.14,1
38,Washington University in St Louis,United States of America,58.9,56.4,63,88.6,68.6,12528,5.7,0.17,1
39,École Polytechnique,France,57.9,77.9,56.1,91.4,68,2429,4.8,0.3,0.22
40,University of Edinburgh,United Kingdom,59.9,67.3,61.9,86.8,42.2,25774,14.1,0.36,1.381
41,Hong Kong University of Science and Technology,Hong Kong,50.4,97.4,51.8,98.2,64.1,11385,23.8,0.36,1
42,École Normale Supérieure,France,66.8,44.9,48.2,95.7,30.7,2400,7.9,0.2,0.852
43,Australian National University,Australia,51.9,93.9,62.4,81,67.6,14604,19.2,0.35,1.083
43,Karolinska Institute,Sweden,65.8,67.4,72.7,62.3,73.3,7774,11.5,0.22,2.333
43,University of Göttingen,Germany,57.3,44.5,55.9,92.5,31.7,25581,25.6,0.12,1.041
47,Rice University,United States of America,57.4,31.2,50.6,99.1,29.2,6333,9,0.26,0.786
48,École Polytechnique Fédérale de Lausanne,Switzerland,55,100,56.1,83.8,38,9666,10.5,0.54,0.37
49,"University of California, Irvine",United States of America,49.4,66.3,54.7,91.6,67.4,26614,16.1,0.16,1.083
49,University of Science and Technology of China,China,57.5,65.7,48.6,92.7,30.3,14290,7.9,0.02,1
51,Vanderbilt University,United States of America,64.9,22.1,59.5,78.1,84.2,12161,3.6,0.1,1.083
52,University of Minnesota,United States of America,57.6,23,69.1,76.4,64.4,46825,18,0.13,1.083
53,Tufts University,United States of America,64.1,28.3,52.3,83.9,63.9,10410,10,0.14,1.174
