university_name,country,country2012,country2013,country2014,country2015,country2016,world_rank2011,teaching2011,international2011,research2011,citations2011,income2011,num_students2011,student_staff_ratio2011,international_students2011,female_male_ratio2011,world_rank2012,teaching2012,international2012,research2012,citations2012,income2012,num_students2012,student_staff_ratio2012,international_students2012,female_male_ratio2012,world_rank2013,teaching2013,international2013,research2013,citations2013,income2013,num_students2013,student_staff_ratio2013,international_students2013,female_male_ratio2013,world_rank2014,teaching2014,international2014,research2014,citations2014,income2014,num_students2014,student_staff_ratio2014,international_students2014,female_male_ratio2014,world_rank2015,teaching2015,international2015,research2015,citations2015,income2015,num_students2015,student_staff_ratio2015,international_students2015,female_male_ratio2015,world_rank2016,teaching2016,international2016,research2016,citations2016,income2016,num_students2016,student_staff_ratio2016,international_students2016,female_male_ratio2016
École Normale Supérieure,France,France,France,France,France,France,42,66.8,44.9,48.2,95.7,30.7,2400,7.9,0.2,0.852,59,56.6,66.2,33.5,96.4,44.7,2400,7.9,0.2,0.852,59,61.6,67.3,46.9,90.3,47.2,2400,7.9,0.2,0.852,65,54.6,67.1,37.1,87,44.7,2400,7.9,0.2,0.852,78,48.7,81.9,36.2,84.8,39.4,2400,7.9,0.2,0.852,54,70.6,85.5,47.7,87.1,37.1,2400,7.9,0.2,0.852
École Normale Supérieure de Lyon,France,France,France,France,France,France,100,51.1,37.6,34.4,88.8,26.1,2218,8,0.14,1,141,35.3,58.8,21.4,85.1,25.1,2218,8,0.14,0.961,170,40.8,61,25.9,79.6,28.9,2218,8,0.14,0.961,156,37.1,63.3,35.2,67.7,30,2218,8,0.14,0.961,160,38.1,64.4,33.8,73,29.3,2218,8,0.14,0.961,201-250,41.6,65.6,30,69,31.7,2218,8,0.14,0.961
École Polytechnique,France,France,France,France,France,France,39,57.9,77.9,56.1,91.4,68,2429,4.8,0.3,0.22,63,50.4,86.1,38.8,89.1,63,2429,4.8,0.3,0.22,62,56.5,83,54.7,80.7,75.8,2429,4.8,0.3,0.22,70,46.3,86.1,40.5,82.3,74,2429,4.8,0.3,0.22,61,50.5,94.5,47.1,79.9,76.8,2429,4.8,0.3,0.22,101,53.5,92.8,44.6,64.7,82.3,2429,4.8,0.3,0.22
École Polytechnique Fédérale de Lausanne,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,Switzerland,48,55,100,56.1,83.8,38,9666,10.5,0.54,0.37,46,53.1,98.9,43.9,95.3,46.7,9666,10.5,0.54,0.37,40,62.4,98.8,57,95,49.8,9666,10.5,0.54,0.37,37,52.9,98.2,48.3,95.9,49.2,9666,10.5,0.54,0.37,34,54.7,98.8,56.9,95,61.9,9666,10.5,0.54,0.37,31,61.3,98.6,67.5,94.6,65.4,9666,10.5,0.54,0.37
Aalborg University,Denmark,,Denmark,Denmark,Denmark,Denmark,-,-,-,-,-,-,-,-,-,-,301-350,19,75.3,20,27.1,36.4,"17,422",15.9,0.15,0.923,351-400,21.7,67.2,24.9,41,39,17422,15.9,0.15,0.923,301-350,20,70.8,24.5,46,39.8,17422,15.9,0.15,0.923,351-400,23.8,65.8,28.5,39.9,43.9,17422,15.9,0.15,0.923,201-250,25.1,71,28.4,73.8,43.7,17422,15.9,0.15,0.923
Aalto University,Finland,,Finland,Finland,Finland,Finland,-,-,-,-,-,-,-,-,-,-,301-350,26.2,49,22.2,37.5,61.9,"16,099",24.2,0.17,0.471,251-275,34.4,52,26.8,50.1,73.7,16099,24.2,0.17,0.471,301-350,26.9,64.3,17,57.4,39.4,16099,24.2,0.17,0.471,251-275,31.8,59.4,31.3,50.2,64.5,16099,24.2,0.17,0.471,251-300,31.1,65.4,32.8,62.1,61.6,16099,24.2,0.17,0.471
Aarhus University,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,167,38.1,33.4,55.6,57.3,61.5,23895,13.6,0.14,1,125,30.7,69.3,49,64,67,23895,13.6,0.14,1.174,116,35.7,66.4,54.6,71.6,69.7,23895,13.6,0.14,1.174,138,30.7,67.2,46.4,65.8,67.5,23895,13.6,0.14,1.174,153,30.9,66.3,47.5,66.5,59.8,23895,13.6,0.14,1.174,106,36.9,76.8,50.7,79.8,68.3,23895,13.6,0.14,1.174
Aberystwyth University,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,United Kingdom,-,-,-,-,-,-,-,-,-,-,276-300,19.8,63.8,15.5,56.6,35.5,"9,252",19.2,0.18,0.923,276-300,23.8,63.1,21.7,64.3,34.9,9252,19.2,0.18,0.923,301-350,19.3,65.5,17.6,57.5,32.8,9252,19.2,0.18,0.923,351-400,20.7,66.5,20.6,52.2,33,9252,19.2,0.18,0.923,301-350,21.6,72.2,18.9,67.2,31.3,9252,19.2,0.18,0.923
Aix-Marseille University,France,-,-,-,-,France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251-300,36.7,63,22.1,64.9,33.1,71749,45.5,0.13,1.564
Alexandria University,Egypt,Egypt,-,-,-,Egypt,147,29.5,19.3,28,99.8,36,127431,23.3,0.01,1,301-350,15.2,31.6,7.8,61.4,34.5,"127,431",23.3,0.01,0.852,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
